CUSTOMER,LOCATION,LOCATIONID,METERNAME,QUANTITY,MEASUREUNITID,READINGDATE,RECORDSTARTDATE,RECORDENDDATE,ACCOUNT,DATATYPE
SE2DEMO,vc03dc01,7.43E+13,Energy Consumption,42.751,kWh,2022-01-01T00:00:00.000Z,,,vc03dc01_Energy Consumption,Energy Consumption
SE2DEMO,vc03dc01,7.43E+13,Active Hosts,13,Number,2022-01-01T00:00:00.000Z,,,vc03dc01_Active Hosts,Active Hosts
SE2DEMO,vc03dc01,7.43E+13,Active VMs,152,Number,2022-01-01T00:00:00.000Z,,,vc03dc01_Active VMs,Active VMs
SE2DEMO,vc03dc01,7.43E+13,VM host density,11.69,VM/hosts,2022-01-01T00:00:00.000Z,,,vc03dc01_VM host density,VM host density
SE2DEMO,vc03dc01,7.43E+13,Energy Host Intensity,3.29,kWh/hosts,2022-01-01T00:00:00.000Z,,,vc03dc01_Energy Host Intensity,Energy Host Intensity
SE2DEMO,HawthorneSales,7.44E+13,Energy Consumption,49.72,kWh,2022-01-01T00:00:00.000Z,,,HawthorneSales_Energy Consumption,Energy Consumption
SE2DEMO,HawthorneSales,7.44E+13,Active Hosts,14,Number,2022-01-01T00:00:00.000Z,,,HawthorneSales_Active Hosts,Active Hosts
SE2DEMO,HawthorneSales,7.44E+13,Active VMs,154,Number,2022-01-01T00:00:00.000Z,,,HawthorneSales_Active VMs,Active VMs
SE2DEMO,HawthorneSales,7.44E+13,VM host density,11,VM/hosts,2022-01-01T00:00:00.000Z,,,HawthorneSales_VM host density,VM host density
SE2DEMO,HawthorneSales,7.44E+13,Energy Host Intensity,3.55,kWh/hosts,2022-01-01T00:00:00.000Z,,,HawthorneSales_Energy Host Intensity,Energy Host Intensity
SE2DEMO,vc03dc01,7.43E+13,Energy Consumption,48.75,kWh,2022-01-02T00:00:00.000Z,,,vc03dc01_Energy Consumption,Energy Consumption
SE2DEMO,vc03dc01,7.43E+13,Active Hosts,14,Number,2022-01-02T00:00:00.000Z,,,vc03dc01_Active Hosts,Active Hosts
